Timestamp,Command,Elapsed_Time_sec,CPU_Percent,Max_RSS_KB,User_Time_sec,System_Time_sec,Input_Size_MB,Output_Size_MB,Exit_Status
2025-11-22 06:19:53,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884685/SRR3884685_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884685/SRR3884685_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884685",53.62,577,671764,306.91,2.86,2934.38,.12,0
2025-11-22 06:20:47,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884677/SRR3884677_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884677/SRR3884677_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884677",55.65,569,671816,313.88,3.05,3080.80,.12,0
2025-11-22 06:21:43,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884675/SRR3884675_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884675/SRR3884675_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884675",61.14,548,665608,332.39,2.92,3463.64,.12,0
2025-11-22 06:22:44,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884690/SRR3884690_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884690/SRR3884690_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884690",40.64,562,661556,225.99,2.44,2235.30,.12,0
2025-11-22 06:23:25,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884689/SRR3884689_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884689/SRR3884689_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884689",37.66,681,668736,254.41,2.36,1718.94,.12,0
2025-11-22 06:24:03,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884684/SRR3884684_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884684/SRR3884684_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884684",45.63,541,663528,244.33,2.75,2541.08,.12,0
2025-11-22 06:24:48,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884686/SRR3884686_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884686/SRR3884686_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884686",48.64,608,669740,292.80,2.94,2789.90,.12,0
2025-11-22 06:25:37,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884687/SRR3884687_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884687/SRR3884687_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884687",32.7,572,667672,185.40,1.88,1830.79,.12,0
2025-11-22 06:26:10,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884597/SRR3884597_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884597/SRR3884597_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884597",51.66,563,662504,288.00,3.14,2910.19,.12,0
2025-11-22 06:27:02,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884679/SRR3884679_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884679/SRR3884679_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884679",36.1,571,663588,204.10,2.28,1985.42,.12,0
2025-11-22 06:27:38,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884608/SRR3884608_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884608/SRR3884608_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884608",71.13,575,661576,406.18,3.27,3975.17,.12,0
2025-11-22 06:28:49,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884620/SRR3884620_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884620/SRR3884620_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884620",54.16,581,662448,312.15,3.06,3078.23,.12,0
2025-11-22 06:29:44,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884631/SRR3884631_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884631/SRR3884631_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884631",59.67,586,658484,346.90,2.93,3357.93,.12,0
2025-11-22 06:30:43,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884642/SRR3884642_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884642/SRR3884642_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884642",71.64,551,660464,392.02,3.38,4060.66,.12,0
2025-11-22 06:31:55,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884653/SRR3884653_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884653/SRR3884653_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884653",60.15,573,658456,342.10,3.02,3392.31,.12,0
2025-11-22 06:32:55,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884664/SRR3884664_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884664/SRR3884664_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884664",50.17,583,658468,289.88,2.63,2829.97,.12,0
2025-11-22 06:33:46,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884680/SRR3884680_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884680/SRR3884680_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884680",57.65,545,664596,311.34,2.96,3263.13,.12,0
2025-11-22 06:34:43,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884681/SRR3884681_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884681/SRR3884681_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884681",68.67,564,665624,384.05,3.30,4001.82,.12,0
2025-11-22 06:35:52,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR3884678/SRR3884678_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR3884678/SRR3884678_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR3884678",76.15,573,653272,433.00,3.57,4247.65,.12,0
2025-11-22 06:37:09,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR20722234/SRR20722234_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR20722234/SRR20722234_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR20722234",183.16,619,655364,1128.64,5.97,10478.93,.12,0
2025-11-22 06:40:12,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR21010466/SRR21010466_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR21010466/SRR21010466_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR21010466",66.15,903,758804,593.69,3.78,2922.55,.12,0
2025-11-22 06:41:18,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR20722233/SRR20722233_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR20722233/SRR20722233_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR20722233",148.62,547,656488,807.01,7.44,9167.14,.12,0
2025-11-22 06:43:47,"salmon quant -i 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/4_Salmon_WD/index/All_Smel_Genes_decoySAF -l A -1 2_TRIMMED_SRR/SRR20722387/SRR20722387_1_val_1.fq.gz -2 2_TRIMMED_SRR/SRR20722387/SRR20722387_2_val_2.fq.gz -p 16 --validateMappings --seqBias --gcBias --posBias --numBootstraps 30 -o 4_POST_PROCESSING/4d_Method_4_Salmon_Saf_Quantification/5_Salmon_Quant_WD/All_Smel_Genes/SRR20722387",186.94,574,657464,1066.47,7.36,11516.52,.12,0
